text_len,word_count,title_len,keyword_hits,n_scripts,n_images,n_forms,n_inputs,n_iframes,has_password_field,has_submit_field,has_email_field,n_links,n_external_links,external_link_ratio,url,final_url,label,y_true,y_pred,etype
1562,233,20,1,6,2,0,0,0,0,0,0,0,0,0.0,https://acessando-pendencias.vercel.app/up01/index.html?name=Adriana%2520Felix%2520De%2520Souza&amp;document=08335272409&amp;email=adrianafelix2019jb@gmail.com&amp;telephone=83981559882&amp;utm_source=organic,https://acessando-pendencias.vercel.app/up01/index.html?name=Adriana%2520Felix%2520De%2520Souza&amp;document=08335272409&amp;email=adrianafelix2019jb@gmail.com&amp;telephone=83981559882&amp;utm_source=organic,1,1,0,FN
1422,125,27,0,1,5,0,0,0,0,0,0,24,4,0.1666666666666666,https://hhdr-telegram.com.cn/,https://hhdr-telegram.com.cn/,1,1,0,FN
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,http://allegro.23887g364.click/,https://allegro.23887g364.click/,1,1,0,FN
29,3,0,0,1,0,0,0,0,0,0,0,0,0,0.0,https://www.biometrie-nouvelle-carte.com/,https://www.biometrie-nouvelle-carte.com/,1,1,0,FN
50,7,50,1,3,1,0,0,0,0,0,0,1,1,1.0,https://ndaxlogen.webflow.io/,https://ndaxlogen.webflow.io/,1,1,0,FN
212,34,13,2,1,0,1,3,0,1,0,1,7,0,0.0,https://spotify-login.vercel.app/,https://spotify-login.vercel.app/,1,1,0,FN
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,https://vhkyauq.kprqddrd.cn/ghticg/lub-iu_louik/,https://vhkyauq.kprqddrd.cn/ghticg/lub-iu_louik/,1,1,0,FN
141,18,3,1,3,1,1,4,0,0,1,1,1,0,0.0,https://owa-13c93b.webflow.io/,https://owa-13c93b.webflow.io/,1,1,0,FN
16771,2522,60,0,25,88,1,2,1,0,1,0,497,20,0.0402414486921529,https://servicessanteam.com/,https://www.lemonde.fr/,1,1,0,FN
0,0,6,0,1,0,0,0,1,0,0,0,0,0,0.0,https://onetech.com.bo/c1/?gad_source=1&amp;gad_campaignid=23726896029&amp;gbraid=0AAAABDS4q-ryPZb0KKxfp-5jy5cL7ovZP&amp;gclid=EAIaIQobChMI-5Ly3eDgkwMVo3R_AB3xoyekEAMYASAAEgIujPD_BwE,https://onetech.com.bo/c1/?gad_source=1&amp;gad_campaignid=23726896029&amp;gbraid=0AAAABDS4q-ryPZb0KKxfp-5jy5cL7ovZP&amp;gclid=EAIaIQobChMI-5Ly3eDgkwMVo3R_AB3xoyekEAMYASAAEgIujPD_BwE,1,1,0,FN
1639,272,46,0,52,36,0,0,1,0,0,0,4,3,0.75,https://shpee-br-ten.vercel.app/,https://shpee-br-ten.vercel.app/,1,1,0,FN
488,76,45,0,6,22,1,4,0,0,1,0,0,0,0.0,https://tramposdovinao.github.io/bradesco/bradesco-bia.onrender.com/index.html,https://tramposdovinao.github.io/bradesco/bradesco-bia.onrender.com/index.html,1,1,0,FN
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,https://airscredloginoport2026.zya.me/?i=1,https://airscredloginoport2026.zya.me/?i=1,1,1,0,FN
210,33,14,1,27,3,1,1,0,0,0,0,14,1,0.0714285714285714,https://dop-cancele-compra-bhd-en-este-enlace-dom-26.weebly.com/,https://dop-cancele-compra-bhd-en-este-enlace-dom-26.weebly.com/,1,1,0,FN
90,18,14,0,59,0,0,0,0,0,0,0,11,1,0.0909090909090909,https://trzstartedio.wixstudio.com/wallet,https://trzstartedio.wixstudio.com/wallet,1,1,0,FN
329,51,56,0,0,2,0,0,0,0,0,0,0,0,0.0,https://re-wallet.com/,https://www.re-wallet.com/,1,1,0,FN
3,2,13,0,0,0,1,2,0,1,0,1,0,0,0.0,http://www.roberthood.net/me/young/quak/bizmail.php/,http://www.roberthood.net/me/young/quak/bizmail.php/,1,1,0,FN
11161,1515,42,0,8,186,0,2,1,0,0,0,391,183,0.4680306905370844,http://galabetgirisadresi.com/,https://galabetgirisadresi.com/,1,1,0,FN
2165,317,10,0,53,12,1,1,0,0,0,0,60,17,0.2833333333333333,http://heroexports.com/,https://www.heroexports.com/,1,1,0,FN
1515,227,55,1,7,0,1,2,0,0,1,0,13,6,0.4615384615384615,http://metamaskchromeextensionn.blogspot.com/,https://metamaskchromeextensionn.blogspot.com/,1,1,0,FN
1578,215,10,1,0,8,0,1,0,0,0,0,16,12,0.75,http://amazon-clone-sable-rho.vercel.app/,https://amazon-clone-sable-rho.vercel.app/,1,1,0,FN
0,0,9,0,3,0,0,0,0,0,0,0,0,0,0.0,http://instagram-clone-lime.vercel.app/,https://instagram-clone-lime.vercel.app/,1,1,0,FN
257,38,15,1,0,2,0,0,0,0,0,0,1,0,0.0,http://facebookweb.github.io/.com-application-help.center-,https://facebookweb.github.io/.com-application-help.center-/,1,1,0,FN
549,83,6,0,7,17,1,1,0,0,1,0,0,0,0.0,https://applelocalizar.com/,https://applelocalizar.com/expire/?5,1,1,0,FN
358,54,17,2,5,2,0,3,0,1,0,0,26,0,0.0,https://notifyhubss.net/y6e68fd91ce0844518l86cb6fa88bbbb64ce.html,https://notifyhubss.net/y6e68fd91ce0844518l86cb6fa88bbbb64ce.html,1,1,0,FN
4788,767,4,3,0,14,0,0,0,0,0,0,18,0,0.0,http://f.digitalmaillane.com/igit/4/268souftvgo1ect3jdt8ivt99s191t9uitgf7tq3tjtc,http://f.digitalmaillane.com/igit/4/268souftvgo1ect3jdt8ivt99s191t9uitgf7tq3tjtc,1,1,0,FN
