Rank,feature,importance_mean,importance_std
1,n_scripts,0.013860901887899846,0.00029766456137538514
2,n_links,0.010750269001271661,0.0002174128022194399
3,title_len,0.007815709674263937,0.0003183241728508824
4,text_len,0.007668981707913558,0.0002668136886821023
5,word_count,0.007419544165117908,0.00026882336072896776
6,n_external_links,0.006098992467964426,0.0002231144424915824
7,external_link_ratio,0.005272424924190588,0.00023537531870322116
8,n_images,0.00503276924581828,0.00021369512153920778
9,n_inputs,0.0030617235645114204,0.00022961351059972294
10,n_iframes,0.0023427565293945296,0.00017285138459425538
11,keyword_hits,0.0021275555120806255,0.00019836936115302903
12,n_forms,0.001741171867357938,0.0002100255360812214
13,has_email_field,0.0010270957644527457,0.0002455228484400074
14,has_submit_field,0.0008021128827154778,0.00011195855563201178
15,has_password_field,0.00010270957644531453,2.6338476020400046e-05
